P1_Texto	P1_Cita	P2_Texto	P3_Texto	P3_Cierre	P4_Texto	P5_Texto	P6_Texto	P6_Cierre
El que confía en sus riquezas caerá; mas los justos reverdecerán como ramas.	Proverbios 11:28	Las cosas materiales pueden cambiar rápidamente, por eso vale la pena construir también aquello que no depende de ellas.	¿Qué aspecto de tu vida consideras más valioso que cualquier posesión material?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, ayúdame a valorar lo eterno y a no medir mi vida únicamente por lo que poseo.	Declaro que mi identidad y mi esperanza no dependerán de mis bienes materiales.	Escribe "Mi tesoro está en Dios" si quieres poner tus prioridades en perspectiva.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
El hombre propone, y Dios dispone.	Proverbios 16:9	Aunque hagas planes con cuidado, también necesitas estar dispuesto a adaptarte cuando el camino cambie.	¿Qué plan de tu vida terminó tomando un rumbo diferente al que imaginabas?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, dame flexibilidad y confianza cuando mis planes no resulten como esperaba.	Declaro que podré ajustar mis planes sin perder mi confianza en Dios.	Escribe "Dios dirige mis pasos" si hoy entregas tus planes a Él.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Mejor es el poco con justicia que el mucho con injusticia.	Proverbios 16:8	No todo lo que parece abundancia representa bienestar; también importa la manera en que obtenemos aquello que tenemos.	¿Qué valor no estarías dispuesto a sacrificar por conseguir algo que deseas?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, ayúdame a mantener mis principios aun cuando tomar el camino correcto parezca más difícil.	Declaro que no sacrificaré mis valores por obtener resultados rápidos.	Escribe "Mantendré mis principios" si hoy eliges hacer lo correcto.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
La congoja en el corazón del hombre lo abate; mas la buena palabra lo alegra.	Proverbios 12:25	Una palabra oportuna puede tener un impacto enorme en alguien que está atravesando un momento complicado.	¿Quién necesita escuchar hoy una palabra sincera de ánimo de tu parte?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, pon delante de mí a las personas que necesitan una palabra de esperanza y dame sabiduría para animarlas.	Declaro que mis palabras pueden convertirse en una fuente de ánimo para quienes me rodean.	Escribe "Daré una palabra de ánimo" si hoy quieres levantar el corazón de alguien.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
El amigo ama en todo tiempo, y es como un hermano en tiempo de angustia.	Proverbios 17:17	La amistad verdadera se demuestra especialmente cuando las circunstancias dejan de ser fáciles.	¿Qué amigo ha estado contigo durante una etapa difícil de tu vida?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, gracias por las personas que has puesto en mi camino y ayúdame a ser también un amigo fiel.	Declaro que cuidaré y valorar é las relaciones que han demostrado amor y fidelidad.	Escribe "Gracias por mis amigos" si hoy tienes a alguien especial que agradecer.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
El amor cubrirá multitud de pecados.	1 Pedro 4:8	Perdonar no significa olvidar lo ocurrido, sino decidir que el dolor no tendrá que controlar para siempre tu manera de vivir.	¿Hay alguna persona por la que necesitas comenzar a orar para poder sanar una herida?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, ayúdame a sanar las heridas que todavía llevo y dame un corazón dispuesto a perdonar.	Declaro que buscaré libertad interior en lugar de permanecer atado al resentimiento.	Escribe "Quiero sanar" si hoy deseas comenzar un proceso de perdón.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Antes sed benignos unos con otros, misericordiosos, perdonándoos unos a otros.	Efesios 4:32	La bondad cotidiana puede parecer pequeña para quien la realiza, pero puede ser enorme para quien la recibe.	¿Qué gesto sencillo de bondad recuerdas con especial cariño?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, hazme una persona más compasiva, paciente y generosa con quienes encuentro cada día.	Declaro que procuraré responder con bondad incluso cuando no sea lo más fácil.	Escribe "Elegiré la bondad" si hoy quieres hacer algo bueno por alguien.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Sobrellevad los unos las cargas de los otros, y cumplid así la ley de Cristo.	Gálatas 6:2	Nadie debería sentir que tiene que enfrentar absolutamente todo en soledad; una palabra de apoyo también puede aliviar una carga.	¿A quién podrías ofrecerle tu ayuda o compañía durante esta semana?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, muéstrame a quién puedo ayudar y dame disposición para acompañarlo con sinceridad.	Declaro que estaré dispuesto a servir y apoyar a quienes necesiten una mano amiga.	Escribe "Cuenta conmigo" si hoy quieres estar disponible para alguien.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Llevad los unos las cargas de los otros, y cumplid así la ley de Cristo.	Gálatas 6:2	Compartir una carga no siempre requiere resolverla; a veces basta con escuchar y permanecer presente.	¿Quién ha sido esa persona que te escuchó cuando más necesitabas hablar?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, enséñame a escuchar sin juzgar y a acompañar con paciencia a quien atraviesa una dificultad.	Declaro que seré una presencia de apoyo para las personas que Dios coloque cerca de mí.	Escribe "Estoy para ayudarte" si hoy quieres ofrecer apoyo a alguien.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Gozaos con los que se gozan; llorad con los que lloran.	Romanos 12:15	La empatía consiste en aprender a acompañar a otros tanto en sus alegrías como en sus momentos de dolor.	¿Te resulta más fácil celebrar los logros de otros o acompañarlos cuando sufren?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, dame un corazón sensible para alegrarme sinceramente con otros y acompañarlos cuando estén tristes.	Declaro que aprenderé a compartir las alegrías y las cargas de quienes me rodean.	Escribe "Quiero tener empatía" si deseas aprender a acompañar mejor a otros.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Si es posible, en cuanto dependa de vosotros, estad en paz con todos los hombres.	Romanos 12:18	No siempre podrás controlar la actitud de los demás, pero sí puedes decidir qué clase de respuesta darás.	¿Qué relación te está enseñando actualmente a practicar más paciencia?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, dame sabiduría para buscar la reconciliación cuando sea posible y paz cuando no pueda controlar el resultado.	Declaro que haré mi parte para construir relaciones más pacíficas.	Escribe "Buscaré la paz" si hoy quieres aportar tranquilidad a tus relaciones.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
No paguéis a nadie mal por mal; procurad lo bueno delante de todos los hombres.	Romanos 12:17	Responder al daño con más daño puede prolongar una cadena que solo termina generando nuevas heridas.	¿Qué te ayuda a no responder impulsivamente cuando alguien te trata mal?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, ayúdame a romper ciclos de enojo y a responder de una manera que refleje mis valores.	Declaro que no permitiré que las acciones de otros determinen mi manera de actuar.	Escribe "Romperé el ciclo" si hoy eliges responder de una manera diferente.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Amaos los unos a los otros con amor fraternal; en cuanto a honra, prefiriéndoos los unos a los otros.	Romanos 12:10	Valorar a otras personas también significa reconocer sus esfuerzos y darles el lugar que merecen.	¿A quién podrías reconocer o agradecer públicamente por algo que ha hecho por ti?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, ayúdame a reconocer el valor de las personas que forman parte de mi vida.	Declaro que practicaré el respeto y la honra hacia quienes me rodean.	Escribe "Hoy agradezco a alguien" si tienes una persona a quien reconocer.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Y considerémonos unos a otros para estimularnos al amor y a las buenas obras.	Hebreos 10:24	Una comunidad puede fortalecerse cuando sus integrantes se animan mutuamente a hacer el bien.	¿Quién te inspira a ser una mejor persona con su ejemplo?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, ayúdame a ser una influencia positiva y a motivar a otros con mis palabras y acciones.	Declaro que procuraré inspirar buenas acciones en las personas que me rodean.	Escribe "Quiero inspirar el bien" si deseas ser una influencia positiva.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Y todo lo que hacéis, sea de palabra o de hecho, hacedlo todo en el nombre del Señor Jesús.	Colosenses 3:17	La fe también puede reflejarse en la manera en que realizas las tareas más comunes de tu día.	¿Qué actividad cotidiana quieres realizar hoy con una actitud más consciente y agradecida?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, ayúdame a recordar que incluso mis tareas sencillas pueden realizarse con propósito y gratitud.	Declaro que buscaré honrar a Dios también mediante mis acciones cotidianas.	Escribe "Todo con propósito" si hoy quieres vivir cada actividad con intención.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Y cualquiera que dé a uno de estos pequeñitos un vaso de agua fría solamente, por cuanto es discípulo, de cierto os digo que no perderá su recompensa.	Mateo 10:42	Un gesto sencillo puede demostrar que todavía existe disposición para cuidar a los demás.	¿Qué pequeño favor puedes hacer hoy para facilitarle el día a otra persona?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, abre mis ojos para reconocer oportunidades sencillas de servir y ayudar a quienes me rodean.	Declaro que no pasaré por alto las pequeñas oportunidades de hacer el bien.	Escribe "Haré el bien hoy" si quieres convertir una pequeña acción en una bendición.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Y el Dios de paz sea con todos vosotros. Amén.	Romanos 15:33	La paz también puede crecer cuando dejamos de intentar controlar cada resultado y aprendemos a aceptar lo que no depende de nosotros.	¿Qué situación necesitas dejar de controlar para recuperar tranquilidad?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, enséñame a distinguir entre aquello que puedo cambiar y aquello que debo entregarte.	Declaro que soltaré aquello que está fuera de mi control y cuidaré mi paz.	Escribe "Lo dejo en manos de Dios" si hoy decides soltar una preocupación.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Que el Dios de esperanza os llene de todo gozo y paz en el creer.	Romanos 15:13	La esperanza puede darte una razón para seguir avanzando incluso cuando el presente todavía no parece claro.	¿Qué esperanza quieres conservar viva durante esta nueva etapa de tu vida?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, llena mi corazón de esperanza cuando el futuro parezca incierto y ayúdame a continuar.	Declaro que mantendré viva la esperanza aun cuando todavía no conozca el resultado.	Escribe "Tengo esperanza" si hoy decides mirar hacia adelante con fe.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
El Dios eterno es Jehová, el cual creó los confines de la tierra.	Isaías 40:28	Recordar la grandeza de Dios puede ayudarte a poner tus problemas en una perspectiva diferente.	¿Qué preocupación parece enorme hoy pero podría verse diferente cuando la mires con más calma?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, ayúdame a recordar tu grandeza cuando mis problemas parezcan ocupar todo mi pensamiento.	Declaro que no permitiré que una dificultad sea más grande en mi mente que mi confianza en Dios.	Escribe "Dios es más grande" si hoy quieres recordar Su grandeza.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Los que esperan a Jehová tendrán nuevas fuerzas; levantarán alas como las águilas.	Isaías 40:31	Esperar no siempre es estar quieto; también puede significar prepararte mientras confías en que llegará el momento adecuado.	¿Qué estás esperando que suceda y cómo puedes prepararte mientras tanto?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, renueva mis fuerzas mientras espero y ayúdame a utilizar este tiempo para crecer.	Declaro que mi espera también puede ser una etapa de preparación y crecimiento.	Escribe "Nuevas fuerzas" si hoy necesitas renovar tu esperanza.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
No temas, porque yo estoy contigo; no desmayes, porque yo soy tu Dios que te esfuerzo.	Isaías 41:10	El miedo puede aparecer sin pedir permiso, pero no tiene que decidir por ti.	¿Qué miedo estás dispuesto a enfrentar paso a paso?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, acompáñame cuando el miedo aparezca y ayúdame a actuar con sabiduría en lugar de quedarme paralizado.	Declaro que avanzaré paso a paso sin permitir que el miedo gobierne mis decisiones.	Escribe "No voy a retroceder" si hoy eliges avanzar a pesar del temor.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Cuando pases por las aguas, yo estaré contigo; y si por los ríos, no te anegarán.	Isaías 43:2	Las dificultades pueden sentirse como una corriente fuerte, pero atravesarlas paso a paso es diferente a enfrentarlas imaginando todo de una vez.	¿Qué dificultad estás atravesando actualmente que quieres entregar a Dios?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, acompáñame durante cada etapa difícil y dame serenidad para enfrentar un día a la vez.	Declaro que enfrentaré cada dificultad paso a paso sin perder mi esperanza.	Escribe "Dios caminará conmigo" si hoy confías en Su compañía.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
No te acuerdes de las cosas pasadas, ni traigas a memoria las cosas antiguas.	Isaías 43:18	El pasado puede enseñarte, pero no tiene que convertirse en una habitación donde permanezcas viviendo para siempre.	¿Qué experiencia del pasado estás listo para dejar atrás?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, ayúdame a aprender de mi pasado sin permanecer atrapado en aquello que ya terminó.	Declaro que miraré hacia adelante sin permitir que mis antiguas heridas controlen mi presente.	Escribe "Voy hacia adelante" si hoy decides avanzar.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
He aquí que yo hago cosa nueva; pronto saldrá a luz; ¿no la conoceréis?	Isaías 43:19	Una nueva etapa puede comenzar incluso cuando todavía no sabes exactamente cómo será.	¿Qué cambio positivo te gustaría ver comenzar en tu vida?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, prepara mi corazón para recibir nuevas oportunidades sin aferrarme demasiado a lo que ya terminó.	Declaro que recibiré los nuevos comienzos con fe, sabiduría y esperanza.	Escribe "Estoy listo para lo nuevo" si hoy quieres abrirte a una nueva etapa.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Porque yo sé los pensamientos que tengo acerca de vosotros, dice Jehová, pensamientos de paz, y no de mal.	Jeremías 29:11	Los planes pueden cambiar, pero tener esperanza te permite continuar construyendo mientras esperas descubrir el siguiente paso.	¿Qué parte de tu futuro estás poniendo en las manos de Dios?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, ayúdame a caminar hacia mi futuro sin vivir dominado por la incertidumbre.	Declaro que miraré mi futuro con esperanza y no con temor.	Escribe "Confío en mi futuro" si hoy decides avanzar con esperanza.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Invócame en el día de la angustia; te libraré, y tú me honrarás.	Salmos 50:15	Orar en momentos difíciles puede ayudarte a expresar aquello que muchas veces no sabes cómo explicar a otras personas.	¿Qué preocupación necesitas presentar hoy delante de Dios?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, recibe mis preocupaciones y ayúdame a no cargar en silencio aquello que puedo entregarte en oración.	Declaro que acudiré a Dios cuando necesite dirección, consuelo o fortaleza.	Escribe "Hoy voy a orar" si tienes una situación que deseas poner delante de Dios.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Ciertamente el bien y la misericordia me seguirán todos los días de mi vida.	Salmos 23:6	No todos los días serán iguales, pero cada día puede traer una nueva oportunidad para reconocer algo bueno.	¿Qué bendición deseas aprender a reconocer con mayor frecuencia?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, enséñame a reconocer tu bondad incluso cuando mi día no sea como esperaba.	Declaro que buscaré razones para agradecer en cada etapa de mi vida.	Escribe "Reconozco Su bondad" si hoy decides mirar con gratitud.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
En Dios está mi salvación y mi gloria; en Dios está mi roca fuerte, y mi refugio.	Salmos 62:7	Cuando todo parece moverse a tu alrededor, tener un lugar espiritual donde descansar puede ayudarte a recuperar estabilidad.	¿Qué haces cuando necesitas volver a sentir tranquilidad después de un día pesado?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, sé mi estabilidad cuando todo alrededor parezca incierto y ayúdame a volver mi corazón hacia ti.	Declaro que mi confianza tendrá una base firme aun cuando mis circunstancias cambien.	Escribe "Dios es mi roca" si hoy quieres permanecer firme en Él.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Ciertamente es bueno Dios para con Israel, para con los limpios de corazón.	Salmos 73:1	La bondad de Dios puede reconocerse incluso cuando todavía existen preguntas que no tienen una respuesta inmediata.	¿Qué pregunta estás aprendiendo a llevar con fe mientras esperas comprenderla?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, dame paciencia para vivir con aquellas preguntas que todavía no puedo responder.	Declaro que puedo continuar confiando aun cuando todavía existan cosas que no comprendo.	Escribe "Confío aunque no comprenda" si hoy decides mantener tu fe.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Alzaré mis ojos a los montes; ¿de dónde vendrá mi socorro?	Mateo 6:33	Cuando buscas ayuda, también es importante recordar que no tienes que resolver toda tu vida en un solo día.	¿Qué problema estás intentando solucionar poco a poco?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, dame claridad para concentrarme en el siguiente paso en lugar de preocuparme por todo al mismo tiempo.	Declaro que avanzaré un paso a la vez sin exigir respuestas inmediatas para todo.	Escribe "Un paso a la vez" si hoy decides avanzar sin apresurarte.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Porque el Hijo del Hombre vino a buscar y a salvar lo que se había perdido.	Lucas 19:10	Nadie está obligado a permanecer para siempre en la versión de sí mismo que existió durante una etapa difícil.	¿Qué área de tu vida deseas recuperar y comenzar a reconstruir?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, ayúdame a recuperar aquello que necesita restauración y dame fuerza para comenzar nuevamente.	Declaro que siempre existe espacio para reconstruir con fe, paciencia y propósito.	Escribe "Puedo comenzar otra vez" si hoy decides recuperar la esperanza.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
El que tiene al Hijo, tiene la vida; el que no tiene al Hijo de Dios no tiene la vida.	1 Juan 5:12	La fe no se trata solamente de momentos extraordinarios; también puede transformar la manera en que vives cada día.	¿Qué aspecto de tu vida diaria deseas alinear más con tu fe?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, ayúdame a llevar mi fe más allá de las palabras y reflejarla en mis decisiones cotidianas.	Declaro que mi manera de vivir buscará reflejar aquello que creo.	Escribe "Mi fe se verá en mis acciones" si deseas vivir tu fe de manera práctica.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Y todo lo que pidiereis en oración, creyendo, lo recibiréis.	Mateo 21:22	La oración también puede transformar tu manera de enfrentar una situación mientras esperas una respuesta.	¿Qué petición llevas tiempo presentando delante de Dios?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, recibe mis peticiones y ayúdame a mantener una actitud de fe y paciencia mientras espero.	Declaro que continuaré orando sin abandonar la esperanza.	Escribe "Seguiré orando" si hoy decides mantener esa petición delante de Dios.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Pedid, y se os dará; buscad, y hallaréis; llamad, y se os abrirá.	Mateo 7:7	Buscar respuestas también implica estar dispuesto a dar pasos concretos cuando aparece una oportunidad.	¿Qué puerta estás esperando que se abra en este momento de tu vida?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, dame discernimiento para reconocer las oportunidades que vienen de ti y valentía para actuar.	Declaro que estaré atento a las oportunidades y dispuesto a avanzar con sabiduría.	Escribe "Estoy preparado" si hoy quieres estar listo para la oportunidad correcta.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Y he aquí yo estoy con vosotros todos los días, hasta el fin del mundo.	Mateo 28:20	Hay días en los que necesitas recordar que la compañía de Dios no depende de que todo vaya bien.	¿En qué momento del día necesitas recordar más que Dios está contigo?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, ayúdame a recordar tu compañía tanto en mis días buenos como en aquellos que me cuestan más.	Declaro que viviré cada jornada consciente de que Dios está conmigo.	Escribe "No estoy solo" si hoy quieres recordar la compañía de Dios.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Y el que persevere hasta el fin, éste será salvo.	Mateo 24:13	La perseverancia se construye muchas veces en pequeñas decisiones repetidas cuando nadie está mirando.	¿Qué hábito estás intentando mantener aunque todavía te cueste ser constante?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, dame constancia para mantenerme firme cuando la motivación disminuya.	Declaro que aprenderé a ser constante incluso cuando no tenga ganas de continuar.	Escribe "No me rendiré" si hoy decides mantenerte firme.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Y cualquiera que dé a uno de estos pequeños un vaso de agua fría solamente, por cuanto es discípulo, de cierto os digo que no perderá su recompensa.	Mateo 10:42	Servir no siempre requiere grandes recursos; una acción sencilla también puede expresar amor.	¿Qué pequeño servicio puedes ofrecer hoy a alguien de tu familia?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, dame un corazón dispuesto a servir sin buscar reconocimiento.	Declaro que encontraré maneras sencillas de servir con alegría.	Escribe "Serviré con amor" si hoy quieres ayudar a alguien.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Y el que quiera hacerse grande entre vosotros será vuestro servidor.	Marcos 10:43	El liderazgo también puede expresarse mediante el servicio, la responsabilidad y la disposición para ayudar.	¿Qué significa para ti servir a los demás de manera sincera?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, enséñame a servir sin buscar aplausos y a poner mis capacidades al beneficio de otros.	Declaro que usaré lo que tengo para servir y aportar algo bueno a quienes me rodean.	Escribe "Quiero servir" si deseas poner tus dones al servicio de otros.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Porque cualquiera que se enaltece será humillado; y el que se humilla será enaltecido.	Lucas 14:11	No necesitas demostrar constantemente tu valor; también puedes permitir que tus acciones hablen por ti.	¿Qué situación te enseñó que la humildad puede ser más valiosa que tener la razón?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, ayúdame a mantener los pies sobre la tierra cuando reciba reconocimiento.	Declaro que no necesitaré estar por encima de otros para reconocer mi propio valor.	Escribe "Elegiré la humildad" si hoy quieres caminar con un corazón humilde.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
El que es fiel en lo muy poco, también en lo más es fiel.	Lucas 16:10	Las grandes transformaciones suelen comenzar con decisiones pequeñas que repetimos durante mucho tiempo.	¿Qué pequeño cambio puedes comenzar hoy que beneficie tu futuro?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, ayúdame a valorar los pequeños comienzos y a ser constante con aquello que me has confiado.	Declaro que cuidaré los pequeños detalles porque también forman parte de mi propósito.	Escribe "Comenzaré pequeño" si hoy estás dispuesto a dar el primer paso.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Y el que quiera venir en pos de mí, niéguese a sí mismo, tome su cruz cada día, y sígame.	Lucas 9:23	Seguir una convicción profunda también implica tomar decisiones que requieren disciplina y perseverancia.	¿Qué decisión diaria te ayuda a mantenerte cerca de Dios?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, ayúdame a mantenerme firme en mis convicciones aun cuando requieran esfuerzo y disciplina.	Declaro que mis decisiones diarias estarán alineadas con mi fe y mis principios.	Escribe "Seguiré firme" si hoy quieres permanecer constante en tu camino.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Bienaventurados los pacificadores, porque ellos serán llamados hijos de Dios.	Mateo 5:9	Crear paz muchas veces requiere escuchar primero y reaccionar después.	¿Qué conflicto de tu entorno necesita hoy una actitud más pacífica?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, úsame para llevar tranquilidad donde existan discusiones, tensión o malos entendidos.	Declaro que buscaré ser una persona que construya puentes en lugar de aumentar conflictos.	Escribe "Seré un pacificador" si hoy quieres aportar paz a tu entorno.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Bienaventurados los misericordiosos, porque ellos alcanzarán misericordia.	Mateo 5:7	La misericordia nos recuerda que todos podemos necesitar comprensión en algún momento de nuestra vida.	¿En qué situación podrías mostrar un poco más de misericordia?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, enséñame a mirar las debilidades de otros con compasión en lugar de responder rápidamente con juicio.	Declaro que practicaré la misericordia aun cuando tenga razones para ser severo.	Escribe "Hoy mostraré misericordia" si quieres tratar a alguien con más compasión.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Bienaventurados los de limpio corazón, porque ellos verán a Dios.	Mateo 5:8	La sinceridad interior importa incluso cuando nadie conoce aquello que sucede dentro de nosotros.	¿Qué aspecto de tu corazón quieres entregar hoy a Dios con mayor sinceridad?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, limpia mis intenciones y ayúdame a vivir con sinceridad delante de ti.	Declaro que buscaré cultivar un corazón sincero, limpio y dispuesto a aprender.	Escribe "Haz limpio mi corazón" si hoy quieres acercarte a Dios con sinceridad.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Bienaventurados los que tienen hambre y sed de justicia, porque ellos serán saciados.	Mateo 5:6	Desear hacer lo correcto puede ser difícil cuando hacerlo requiere paciencia o sacrificio.	¿Qué situación de tu entorno te gustaría ver transformada por la justicia y el bien?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, dame valor para actuar con justicia y sensibilidad ante aquello que necesita ser corregido.	Declaro que procuraré hacer lo correcto incluso cuando nadie me esté observando.	Escribe "Elegiré lo correcto" si hoy decides actuar con justicia.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Bienaventurados los que padecen persecución por causa de la justicia, porque de ellos es el reino de los cielos.	Mateo 5:10	Mantener tus principios puede resultar difícil cuando otras personas no los comprenden.	¿Qué valor estarías dispuesto a defender aunque otros no estuvieran de acuerdo contigo?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, dame firmeza para permanecer fiel a mis principios sin responder con orgullo ni resentimiento.	Declaro que permaneceré firme en aquello que considero correcto delante de Dios.	Escribe "Permaneceré firme" si hoy decides cuidar tus convicciones.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Vosotros sois la luz del mundo; una ciudad asentada sobre un monte no se puede esconder.	Mateo 5:14	Tus acciones pueden influir en otras personas incluso cuando no pretendes convertirte en ejemplo.	¿Qué actitud positiva te gustaría transmitir a las personas que conviven contigo?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, ayúdame a reflejar bondad y esperanza en mis palabras y acciones.	Declaro que procuraré ser una influencia positiva dondequiera que me encuentre.	Escribe "Quiero ser luz" si deseas transmitir algo bueno a quienes te rodean.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Así alumbre vuestra luz delante de los hombres, para que vean vuestras buenas obras.	Mateo 5:16	No siempre necesitas explicar lo que crees; tus acciones pueden comunicar mucho por sí mismas.	¿Qué buena acción puedes realizar hoy sin esperar que nadie te felicite?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, ayúdame a hacer el bien con humildad y sin necesidad de recibir reconocimiento.	Declaro que dejaré que mis acciones reflejen los valores que llevo en mi corazón.	Escribe "Haré el bien en silencio" si hoy quieres ayudar sin buscar reconocimiento.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
